product_id,product_name,brand,category,gender,size,color,material,fit,season,made_in,price_usd,on_sale,sale_percent,sale_price_usd,currency,in_stock,stock_qty,avg_rating,review_count,review_id,review_title,review_text,review_rating,reviewer_location,verified_purchase,would_recommend,created_at,review_date,tags
CL-HPBMYOFQ,Utility T-Shirt,Columbia,Dress,Men,L,Pink,Suede,Slim,All-season,Italy,123.95,FALSE,0,,USD,TRUE,229,4,556,REV-5GJLQM5K8P,Great quality,Color matches the photos. Held up well after washing.,4,"CA, USA",TRUE,TRUE,8/13/2024,10/15/2024,"eco, athleisure, streetwear"
CL-Z1GV0E38,Classic Jeans,Lululemon,Jacket,Men,M,Pink,Rayon,Oversized,Fall,Bangladesh,61.62,FALSE,0,,USD,TRUE,242,5,312,REV-V3IZKY22UB,Comfortable fit,Great stitching and material. Super comfortable and soft.,5,"Paris, FR",TRUE,TRUE,8/11/2024,10/10/2024,"trendy, athleisure, eco"
CL-RP0J43D5,Modern Boots,Reebok,Sweater,Kids,XL,Pink,Rayon,Oversized,Summer,USA,164.63,FALSE,0,,USD,TRUE,206,2,2025,REV-4GH2M5ZJA8,Runs small,Fit was awkward in the shoulders. Color faded after one wash.,2,"CA, USA",TRUE,FALSE,7/5/2025,10/13/2025,"trendy, streetwear, minimal"
CL-9TMQLIZL,Modern Socks,Lululemon,Scarf,Women,S,Navy,Spandex Blend,Oversized,Summer,Indonesia,75.69,FALSE,0,,USD,TRUE,135,5,2149,REV-V93KMKZEBB,Worth the price,Held up well after washing. Great stitching and material.,5,"IL, USA",TRUE,TRUE,12/18/2024,2/11/2025,"minimal, premium, eco"
CL-F38DIUOV,Modern Blazer,Ralph Lauren,Sweater,Kids,L,Beige,Linen,Athletic,Fall,India,35.73,TRUE,25,26.8,USD,TRUE,161,4,247,REV-V08HHXFGCA,Runs small,Looks even better in person. Super comfortable and soft.,4,"Berlin, DE",TRUE,TRUE,12/3/2025,12/10/2025,"eco, streetwear, workwear"
CL-C2V37PQK,Modern Blazer,Under Armour,Sneakers,Unisex,XL,Brown,Fleece,Oversized,All-season,Indonesia,125.27,FALSE,0,,USD,FALSE,0,2,164,REV-60VAIY4VA1,Comfortable fit,Not very breathable. Stitching came loose quickly.,2,"IL, USA",TRUE,FALSE,5/25/2024,6/4/2024,"budget, minimal, trendy"
CL-YK83TQLL,Performance Sandals,Lululemon,Sneakers,Men,XXL,Brown,Fleece,Oversized,All-season,Bangladesh,84.38,TRUE,35,54.85,USD,TRUE,41,3,2124,REV-N1W1HT7PZE,Decent but flawed,Breathable and lightweight. Fit was awkward in the shoulders.,3,"Sydney, AU",FALSE,FALSE,12/3/2024,1/25/2025,"workwear, trendy, eco"
CL-ITN7S55J,Premium Boots,Gap,Boots,Unisex,XL,Blue,Cotton,Relaxed,Summer,Indonesia,205.99,TRUE,35,133.89,USD,TRUE,213,3,2006,REV-5QRL1N759I,Worth the price,Excellent value for money. Sizing was inconsistent.,3,"London, UK",TRUE,FALSE,5/9/2025,7/9/2025,"eco, athleisure, minimal"
CL-6AF58C2J,Signature Sneakers,Under Armour,Sneakers,Men,M,Purple,Leather,Oversized,Summer,Portugal,212.79,TRUE,10,191.51,USD,TRUE,112,5,148,REV-WIYKID91ZD,Not as expected,Excellent value for money. Super comfortable and soft.,5,"TX, USA",TRUE,TRUE,4/12/2024,6/19/2024,"eco, workwear, athleisure"
CL-UIWQY6QK,Essential Boots,Levi's,Scarf,Women,XS,Beige,Denim,Athletic,Summer,Italy,28.43,FALSE,0,,USD,TRUE,61,3,1025,REV-QK94DNMKZA,Runs large,Very flattering fit. Color faded after one wash.,3,"London, UK",TRUE,FALSE,5/24/2025,9/18/2025,"giftable, eco, minimal"
CL-DWB2BNE6,Vintage Blazer,Reebok,Polo,Kids,S,Navy,Polyester,Athletic,Summer,Mexico,152.98,FALSE,0,,USD,TRUE,214,4,2056,REV-63J3R30ME8,Runs small,Great stitching and material. Very flattering fit.,4,"TX, USA",FALSE,TRUE,5/20/2024,8/9/2024,"giftable, classic, trendy"
CL-IA5U6HC3,Signature Jeans,Levi's,Blazer,Kids,XS,Gray,Cotton,Slim,Summer,Portugal,133.59,FALSE,0,,USD,FALSE,0,1,476,REV-D5EQY08P0F,Would buy again,Sizing was inconsistent. Fit was awkward in the shoulders.,1,"London, UK",TRUE,FALSE,4/20/2024,7/16/2024,"outdoor, classic, workwear"
CL-83DHX8BM,Vintage Leggings,Nike,Dress,Women,XS,Olive,Leather,Regular,Winter,Bangladesh,199.55,FALSE,0,,USD,TRUE,70,4,955,REV-LF6A4FEJGX,Comfortable fit,Color matches the photos. Fits true to size.,4,"NY, USA",TRUE,TRUE,7/13/2024,7/29/2024,"streetwear, outdoor, athleisure"
CL-8B25SQ8C,Performance Skirt,Nike,Socks,Kids,L,Purple,Organic Cotton,Oversized,Fall,China,105.24,FALSE,0,,USD,TRUE,115,1,331,REV-LFEWVZNVKS,Runs large,Fabric pills easily. Sizing was inconsistent.,1,"London, UK",TRUE,FALSE,5/30/2025,6/28/2025,"giftable, trendy, streetwear"
CL-RDDP0NEC,Vintage Sandals,Patagonia,Scarf,Unisex,XXL,White,Nylon,Relaxed,Fall,USA,100.77,FALSE,0,,USD,TRUE,39,4,1179,REV-VMUHXID4N1,Perfect gift,Breathable and lightweight. Very flattering fit.,4,"Sydney, AU",TRUE,TRUE,12/4/2025,4/2/2026,"trendy, outdoor, giftable"
CL-DTNQFLL7,Classic Coat,Nike,Jeans,Men,S,Gray,Suede,Slim,All-season,India,192.93,FALSE,0,,USD,TRUE,36,3,1815,REV-XRPJ1EPKYR,Stylish and versatile,Color matches the photos. Arrived with a small defect.,3,"IL, USA",TRUE,FALSE,10/10/2025,10/14/2025,"outdoor, eco, giftable"
CL-S43C5BA7,Vintage Blazer,Zara,Polo,Kids,XL,Green,Spandex Blend,Oversized,Summer,China,115.46,FALSE,0,,USD,TRUE,136,5,1660,REV-AL2W37D4IV,Stylish and versatile,Held up well after washing. Color matches the photos.,5,"Paris, FR",TRUE,FALSE,12/21/2025,1/20/2026,"streetwear, athleisure, budget"
CL-G1R11Q7U,Premium Hat,Adidas,Polo,Unisex,S,Beige,Organic Cotton,Oversized,Fall,India,33.38,TRUE,15,28.37,USD,TRUE,194,4,1126,REV-VMCQBNKX9D,Comfortable fit,Color matches the photos. Very flattering fit.,4,"Sydney, AU",TRUE,TRUE,11/2/2025,11/12/2025,"trendy, eco, minimal"
CL-XBZ9SVN7,Everyday Shorts,Columbia,Sneakers,Kids,M,Purple,Suede,Slim,Summer,China,180.68,FALSE,0,,USD,FALSE,0,4,1351,REV-DYK0X65MUF,Would buy again,Looks even better in person. Super comfortable and soft.,4,"ON, Canada",TRUE,TRUE,3/27/2024,5/31/2024,"giftable, classic, budget"
CL-RIEC4D14,Performance Jeans,Ralph Lauren,Hat,Men,XXL,Red,Suede,Regular,Winter,Italy,117.77,TRUE,20,94.22,USD,TRUE,54,4,632,REV-F313FPOYIP,Runs small,Looks even better in person. Feels premium.,4,"IL, USA",FALSE,TRUE,12/15/2024,3/24/2025,"streetwear, trendy, giftable"
CL-5BRN7ZSE,Vintage Socks,H&M,Jeans,Women,M,Beige,Leather,Regular,Fall,China,116.6,FALSE,0,,USD,TRUE,51,4,910,REV-357OONNCIL,Decent but flawed,Excellent value for money. Very flattering fit.,4,"CA, USA",FALSE,TRUE,9/11/2025,9/29/2025,"budget, giftable, eco"
CL-P1IEIXWC,Essential Socks,H&M,Socks,Men,XXL,Brown,Suede,Regular,Spring,India,65.23,FALSE,0,,USD,TRUE,186,5,1759,REV-AMUGYSM8T2,Perfect gift,Excellent value for money. Super comfortable and soft.,5,"Paris, FR",TRUE,TRUE,9/15/2025,11/22/2025,"minimal, eco, classic"
CL-2QZW3C1Q,Classic Coat,Levi's,Blazer,Women,XS,Olive,Wool,Slim,Summer,India,39.75,FALSE,0,,USD,TRUE,164,3,2112,REV-O3RBXK5BXJ,Worth the price,Color matches the photos. Stitching came loose quickly.,3,"ON, Canada",TRUE,FALSE,6/28/2024,10/13/2024,"minimal, classic, athleisure"
CL-CXLVPYMB,Modern Socks,Uniqlo,Leggings,Kids,M,Purple,Cotton,Slim,Fall,Turkey,101.57,FALSE,0,,USD,TRUE,75,4,2102,REV-2Y8FV2BC2N,Would buy again,Held up well after washing. Fits true to size.,4,"London, UK",FALSE,TRUE,11/24/2024,12/8/2024,"budget, minimal, athleisure"
CL-UJJQ9K6R,Premium Sandals,Levi's,Jacket,Women,XS,Beige,Polyester,Oversized,All-season,Turkey,63.92,TRUE,35,41.55,USD,TRUE,132,4,1424,REV-ZTKKFZZGNI,Would buy again,Color matches the photos. Breathable and lightweight.,4,"FL, USA",FALSE,TRUE,1/31/2025,5/28/2025,"minimal, eco, athleisure"
CL-UELCQSE3,Modern Leggings,Gap,Scarf,Women,S,Green,Leather,Slim,All-season,Mexico,94.82,FALSE,0,,USD,TRUE,105,5,627,REV-KF7I8SKCH8,Would buy again,Looks even better in person. Fits true to size.,5,"IL, USA",TRUE,TRUE,2/23/2025,6/9/2025,"trendy, premium, giftable"
CL-X1OXRWK8,Utility Skirt,Lululemon,Socks,Women,XXL,Green,Linen,Oversized,All-season,USA,183.65,TRUE,10,165.28,USD,FALSE,0,5,648,REV-PRHVLZ049E,Not as expected,Looks even better in person. Color matches the photos.,5,"ON, Canada",TRUE,TRUE,8/13/2025,9/16/2025,"streetwear, minimal, premium"
CL-L1RSRLA8,Vintage Sandals,H&M,Hat,Kids,S,Navy,Suede,Relaxed,All-season,USA,212.24,FALSE,0,,USD,TRUE,239,2,1153,REV-R5XQT4P501,Great quality,Not very breathable. Too thin for the season.,2,"ON, Canada",TRUE,FALSE,8/14/2025,11/15/2025,"trendy, streetwear, athleisure"
CL-71HSSBEL,Premium Blazer,Gap,Socks,Kids,S,Pink,Leather,Regular,Summer,Indonesia,36.71,FALSE,0,,USD,TRUE,203,4,1305,REV-F90KM3TZK3,Perfect gift,Feels premium. Held up well after washing.,4,"ON, Canada",TRUE,TRUE,12/13/2024,2/23/2025,"classic, outdoor, workwear"
CL-3IUZGPPO,Utility T-Shirt,Puma,Shorts,Kids,XL,Olive,Suede,Oversized,All-season,Vietnam,111.93,FALSE,0,,USD,TRUE,198,4,2125,REV-HLXSLG6MM1,Decent but flawed,Very flattering fit. Great stitching and material.,4,"IL, USA",TRUE,TRUE,1/24/2025,2/12/2025,"streetwear, workwear, trendy"
CL-YN9382KK,Performance Sweater,H&M,Jeans,Unisex,L,Purple,Linen,Oversized,Spring,Bangladesh,128.58,FALSE,0,,USD,TRUE,73,5,1111,REV-7ZEWVIYTWB,Comfortable fit,Excellent value for money. Color matches the photos.,5,"London, UK",TRUE,TRUE,5/4/2024,7/17/2024,"giftable, budget, eco"
CL-04B7P47B,Signature Skirt,Gap,Sneakers,Kids,S,Yellow,Linen,Slim,All-season,India,71.37,TRUE,40,42.82,USD,TRUE,146,4,440,REV-7MQXS6ESJ3,Perfect gift,Excellent value for money. Great stitching and material.,4,"ON, Canada",TRUE,TRUE,8/25/2024,11/2/2024,"workwear, budget, eco"
CL-7ANQJLUU,Performance Polo,Under Armour,Coat,Unisex,XXL,Navy,Cotton,Slim,Fall,India,80.21,FALSE,0,,USD,TRUE,35,4,655,REV-OS6ZLE6KWH,Comfortable fit,Looks even better in person. Breathable and lightweight.,4,"TX, USA",TRUE,TRUE,5/3/2025,6/14/2025,"outdoor, athleisure, classic"
CL-36HTF4PY,Modern Scarf,Under Armour,Socks,Men,XL,Beige,Cotton,Oversized,Spring,Mexico,121.86,FALSE,0,,USD,FALSE,0,5,1702,REV-QCQ30O30UB,Comfortable fit,Great stitching and material. Fits true to size.,5,"ON, Canada",TRUE,TRUE,4/24/2024,5/2/2024,"eco, premium, minimal"
CL-TXMGTT0I,Signature Blazer,Nike,T-Shirt,Men,M,Beige,Rayon,Athletic,Fall,Mexico,192.88,FALSE,0,,USD,TRUE,174,3,1554,REV-3IMJ70E3P1,Not as expected,Breathable and lightweight. Arrived with a small defect.,3,"NY, USA",TRUE,FALSE,11/8/2025,2/28/2026,"outdoor, eco, minimal"
CL-6UU13I59,Vintage Hoodie,Ralph Lauren,Hat,Women,L,Blue,Linen,Slim,Winter,Indonesia,168.91,FALSE,0,,USD,TRUE,74,5,718,REV-WPR97Y2LOF,Runs large,Excellent value for money. Great stitching and material.,5,"London, UK",TRUE,TRUE,8/27/2024,12/10/2024,"streetwear, giftable, workwear"
CL-NT3BNVBC,Modern Dress,Reebok,Scarf,Women,L,Navy,Denim,Relaxed,All-season,Bangladesh,39.89,TRUE,15,33.91,USD,TRUE,20,5,779,REV-8E9RIVH6T1,Would buy again,Breathable and lightweight. Very flattering fit.,5,"London, UK",TRUE,TRUE,4/5/2025,7/23/2025,"workwear, giftable, athleisure"
CL-TVZKHIUI,Modern Socks,Gap,Scarf,Unisex,M,Olive,Fleece,Oversized,Fall,Vietnam,98.1,FALSE,0,,USD,TRUE,37,2,1443,REV-GZR7TXCB48,Perfect gift,Arrived with a small defect. Stitching came loose quickly.,2,"NY, USA",FALSE,FALSE,1/17/2024,2/20/2024,"giftable, streetwear, premium"
CL-J9A3Y36D,Classic Dress,Under Armour,Jacket,Women,S,Navy,Suede,Athletic,Summer,Turkey,15.27,FALSE,0,,USD,TRUE,4,3,1095,REV-2C8QIZK3C9,Perfect gift,Color matches the photos. Material felt cheaper than expected.,3,"NY, USA",TRUE,FALSE,6/26/2025,9/27/2025,"trendy, minimal, eco"
CL-7YKTXG4A,Essential T-Shirt,Lululemon,Shorts,Women,XXL,Green,Organic Cotton,Relaxed,Spring,Indonesia,55.97,FALSE,0,,USD,TRUE,121,2,985,REV-U4YTN02YC0,Runs large,Arrived with a small defect. Sizing was inconsistent.,2,"ON, Canada",TRUE,FALSE,10/4/2024,10/10/2024,"premium, athleisure, classic"
CL-1KICJN2F,Classic Polo,Puma,Sneakers,Unisex,M,White,Organic Cotton,Slim,Summer,Portugal,207.76,FALSE,0,,USD,TRUE,169,4,1475,REV-1DDPUSDDTV,Perfect gift,Excellent value for money. Great stitching and material.,4,"ON, Canada",FALSE,TRUE,1/24/2025,2/4/2025,"classic, giftable, premium"
CL-K2N7ZRWQ,Vintage Scarf,Under Armour,Dress,Unisex,XS,Green,Denim,Athletic,Fall,Turkey,74.64,FALSE,0,,USD,TRUE,111,4,1804,REV-M349EL8HL8,Not as expected,Breathable and lightweight. Looks even better in person.,4,"ON, Canada",TRUE,TRUE,10/9/2024,12/2/2024,"minimal, outdoor, streetwear"
CL-QZPKY32O,Performance Sneakers,Levi's,Socks,Women,XXL,Blue,Wool,Relaxed,Spring,Italy,135.18,FALSE,0,,USD,TRUE,140,5,1545,REV-C9ROS7YT2M,Runs large,Color matches the photos. Fits true to size.,5,"Paris, FR",TRUE,TRUE,1/28/2024,5/1/2024,"streetwear, athleisure, budget"
CL-HNQYYF9R,Utility Hoodie,Lululemon,Blazer,Kids,XS,White,Spandex Blend,Regular,Summer,India,32.51,TRUE,35,21.13,USD,TRUE,148,5,1406,REV-QHRRPZLK3E,Runs large,Color matches the photos. Breathable and lightweight.,5,"ON, Canada",TRUE,TRUE,12/5/2025,2/17/2026,"budget, streetwear, trendy"
CL-HVNZH13C,Essential Scarf,Uniqlo,Jacket,Women,M,Red,Wool,Oversized,All-season,India,50.77,FALSE,0,,USD,TRUE,188,3,2005,REV-SXVWVM4W3Z,Runs large,Excellent value for money. Stitching came loose quickly.,3,"IL, USA",FALSE,FALSE,9/20/2025,1/12/2026,"giftable, budget, athleisure"
CL-YX9TRFLQ,Performance Sweater,Adidas,Hoodie,Unisex,XS,Beige,Polyester,Regular,Fall,Mexico,136.06,FALSE,0,,USD,TRUE,124,2,2071,REV-XORZPGU2HB,Runs small,Color faded after one wash. Fabric pills easily.,2,"FL, USA",TRUE,FALSE,10/12/2025,12/20/2025,"minimal, outdoor, giftable"
CL-31K9QM3P,Premium Hat,Gap,Jacket,Women,S,Olive,Spandex Blend,Athletic,Summer,Indonesia,170.08,FALSE,0,,USD,TRUE,108,4,1754,REV-FFHHCMKTLZ,Stylish and versatile,Feels premium. Color matches the photos.,4,"IL, USA",TRUE,FALSE,4/14/2024,7/18/2024,"giftable, premium, budget"
CL-WWNC21O0,Classic Boots,Puma,Leggings,Kids,L,Red,Suede,Slim,All-season,Portugal,184.32,FALSE,0,,USD,TRUE,125,5,1468,REV-42O83RLKTE,Not as expected,Looks even better in person. Great stitching and material.,5,"Berlin, DE",FALSE,FALSE,5/25/2024,8/7/2024,"eco, premium, minimal"
CL-CXXBW01P,Essential Jacket,Nike,Jeans,Men,XS,Navy,Fleece,Slim,Spring,Indonesia,45.07,FALSE,0,,USD,TRUE,167,4,927,REV-SQAME4YRID,Great quality,Breathable and lightweight. Great stitching and material.,4,"CA, USA",TRUE,TRUE,1/4/2025,2/6/2025,"workwear, budget, classic"
CL-PH6FE0MP,Essential Dress,Puma,Dress,Women,M,Purple,Organic Cotton,Regular,Winter,Indonesia,162.27,FALSE,0,,USD,TRUE,105,2,1168,REV-2Y4XKSS0KB,Decent but flawed,Material felt cheaper than expected. Color faded after one wash.,2,"FL, USA",TRUE,FALSE,9/22/2025,12/19/2025,"minimal, outdoor, premium"
CL-VAH78OKZ,Everyday T-Shirt,Gap,Boots,Kids,XXL,Green,Organic Cotton,Athletic,Winter,Indonesia,154.05,FALSE,0,,USD,FALSE,0,5,626,REV-JLSH3TOW4Y,Not as expected,Breathable and lightweight. Very flattering fit.,5,"CA, USA",TRUE,TRUE,3/15/2024,3/18/2024,"streetwear, eco, giftable"
CL-S3JN050E,Premium Boots,Adidas,T-Shirt,Unisex,L,Blue,Leather,Slim,Summer,Indonesia,14.63,TRUE,10,13.17,USD,TRUE,243,4,316,REV-RSB4GF16YE,Decent but flawed,Super comfortable and soft. Held up well after washing.,4,"Paris, FR",TRUE,TRUE,12/21/2024,2/26/2025,"eco, minimal, athleisure"
CL-NS6G298C,Essential Dress,Patagonia,Sandals,Unisex,M,Red,Organic Cotton,Athletic,Fall,USA,63.64,FALSE,0,,USD,TRUE,211,5,1512,REV-HUKWQVR1H6,Great quality,Feels premium. Breathable and lightweight.,5,"FL, USA",TRUE,TRUE,3/20/2024,6/2/2024,"trendy, athleisure, eco"
CL-KBI4O6Q0,Signature T-Shirt,Levi's,Jacket,Women,XXL,Green,Organic Cotton,Athletic,Winter,USA,99.32,FALSE,0,,USD,FALSE,0,5,1782,REV-XEK47O3LQI,Stylish and versatile,Fits true to size. Great stitching and material.,5,"FL, USA",TRUE,TRUE,5/25/2024,8/25/2024,"premium, budget, giftable"
CL-3ZB4LDIM,Modern Sandals,Uniqlo,Hat,Men,XXL,Blue,Linen,Regular,All-season,Italy,76.13,TRUE,10,68.52,USD,TRUE,206,3,1853,REV-UTDD2EC2IH,Worth the price,Feels premium. Arrived with a small defect.,3,"London, UK",TRUE,FALSE,12/3/2025,1/11/2026,"giftable, premium, workwear"
CL-3OBYGHGK,Classic Jeans,Columbia,Dress,Men,XL,Pink,Suede,Regular,Summer,Portugal,37.49,FALSE,0,,USD,TRUE,236,5,1688,REV-5RDNPX2I9T,Comfortable fit,Excellent value for money. Looks even better in person.,5,"NY, USA",FALSE,TRUE,8/10/2025,10/5/2025,"athleisure, minimal, trendy"
CL-3QMVIFII,Everyday Socks,Puma,Scarf,Men,S,Pink,Nylon,Relaxed,Spring,Vietnam,17.42,FALSE,0,,USD,TRUE,207,5,969,REV-V3Z6BZ8UUG,Would buy again,Color matches the photos. Breathable and lightweight.,5,"Berlin, DE",TRUE,TRUE,10/14/2024,10/22/2024,"eco, premium, giftable"
CL-FZFDSNCZ,Classic Sweater,Zara,Sneakers,Men,M,Blue,Denim,Regular,Spring,Italy,161.12,FALSE,0,,USD,TRUE,82,4,1996,REV-XG8Y72IVGL,Great quality,Color matches the photos. Great stitching and material.,4,"IL, USA",TRUE,TRUE,3/1/2024,3/4/2024,"outdoor, classic, eco"
CL-ZX5QJICJ,Utility Polo,Uniqlo,Jacket,Men,XS,Green,Fleece,Oversized,Spring,Italy,167.03,TRUE,20,133.62,USD,TRUE,226,3,2020,REV-5MN32U1IQ2,Decent but flawed,Fits true to size. Fit was awkward in the shoulders.,3,"NY, USA",TRUE,FALSE,3/31/2024,7/15/2024,"premium, giftable, athleisure"
CL-6FDHGZZ0,Essential Sneakers,Uniqlo,Coat,Unisex,M,Navy,Organic Cotton,Slim,Fall,Indonesia,197.79,FALSE,0,,USD,TRUE,167,5,2011,REV-FMPKXVHAGK,Would buy again,Fits true to size. Color matches the photos.,5,"CA, USA",TRUE,TRUE,6/17/2024,9/3/2024,"classic, minimal, outdoor"
CL-C1YDMT8V,Premium Coat,Columbia,Scarf,Men,L,Brown,Nylon,Athletic,Fall,Indonesia,50.81,TRUE,25,38.11,USD,TRUE,57,4,966,REV-RC6ZS62YWE,Runs large,Looks even better in person. Color matches the photos.,4,"Berlin, DE",TRUE,FALSE,10/2/2024,12/14/2024,"streetwear, budget, eco"
CL-Q52WSPOF,Signature Jeans,Patagonia,Jacket,Men,XL,Olive,Organic Cotton,Relaxed,Winter,Turkey,30.1,FALSE,0,,USD,TRUE,219,3,1684,REV-JXURGOWYOO,Not as expected,Very flattering fit. Not very breathable.,3,"ON, Canada",TRUE,FALSE,10/9/2024,12/15/2024,"minimal, workwear, athleisure"
CL-XGH30153,Performance Polo,Nike,Hat,Women,XS,Blue,Spandex Blend,Athletic,Fall,Vietnam,214.64,FALSE,0,,USD,TRUE,68,3,2148,REV-5BG34IQ7ZJ,Perfect gift,Fits true to size. Stitching came loose quickly.,3,"Berlin, DE",TRUE,FALSE,3/2/2025,5/19/2025,"premium, eco, streetwear"
CL-AB42HHIH,Utility Socks,Levi's,Boots,Men,XXL,Black,Fleece,Regular,Spring,Indonesia,46.01,FALSE,0,,USD,TRUE,176,4,35,REV-IV7ZZJ64QH,Perfect gift,Very flattering fit. Feels premium.,4,"IL, USA",TRUE,TRUE,4/2/2024,5/9/2024,"classic, outdoor, premium"
CL-X8XGSIC4,Everyday Hat,Nike,Sneakers,Unisex,XXL,Gray,Spandex Blend,Slim,Fall,India,112.2,TRUE,20,89.76,USD,TRUE,220,4,1063,REV-6O0U93MZYW,Decent but flawed,Very flattering fit. Held up well after washing.,4,"Berlin, DE",FALSE,TRUE,10/10/2024,11/13/2024,"trendy, workwear, budget"
CL-5NVQEBWU,Essential Scarf,Reebok,Jeans,Kids,S,Brown,Organic Cotton,Oversized,Winter,India,148.12,TRUE,15,125.9,USD,TRUE,78,3,1693,REV-B4EHOU6QLZ,Perfect gift,Looks even better in person. Not very breathable.,3,"CA, USA",TRUE,FALSE,3/6/2025,6/15/2025,"budget, athleisure, eco"
CL-AT0861TA,Performance Sandals,Nike,T-Shirt,Women,S,Yellow,Denim,Relaxed,Spring,China,38.92,FALSE,0,,USD,TRUE,109,3,1572,REV-SLCB8QSSPY,Not as expected,Very flattering fit. Color faded after one wash.,3,"TX, USA",TRUE,TRUE,5/3/2025,6/22/2025,"streetwear, budget, classic"
CL-X1WVBD4B,Vintage Sweater,Nike,Jacket,Kids,L,Green,Organic Cotton,Athletic,Summer,Portugal,47.15,FALSE,0,,USD,TRUE,9,5,628,REV-HYAPDSWZP6,Not as expected,Great stitching and material. Super comfortable and soft.,5,"Paris, FR",TRUE,TRUE,1/19/2025,5/12/2025,"premium, giftable, minimal"
CL-IADDUR82,Performance Shorts,Zara,Jeans,Men,M,Purple,Wool,Oversized,Summer,India,20.2,FALSE,0,,USD,TRUE,238,5,1902,REV-B354MYPE46,Comfortable fit,Color matches the photos. Breathable and lightweight.,5,"NY, USA",FALSE,TRUE,5/7/2025,6/19/2025,"budget, athleisure, outdoor"
